Date,Business Unit,Housing,Healthcare,Education,Manufacturing/Production,Hospitality,Consulting
1/1/2019,ABULE EGBA,29005.64,313.78,117.24,582.731775,150.7372722,66.99
1/1/2019,AKOWONJO,42967.86,334.7,635.17,621.5836621,816.6469505,362.95
1/1/2019,IKEJA,32039.02,1918.92,6533.44,3563.704638,8400.132287,3733.39
1/1/2019,IKORODU,47547.38,4462.64,511.07,8287.769101,657.0912375,292.04
1/1/2019,OSHODI,46534.4,5705.02,1512.07,10595.03206,1944.092169,864.04
1/1/2019,SHOMOLU,52703.95,912.47,2152.51,1694.587856,2767.517912,1230.01
2/1/2019,ABULE EGBA,26545.31,285.42,134.65,530.0637823,173.121421,76.94
2/1/2019,AKOWONJO,41029.63,362.71,798.98,673.6021122,1027.257673,456.56
2/1/2019,IKEJA,27120.73,2053.67,5924.36,3813.954165,7617.039233,3385.35
2/1/2019,IKORODU,44925.16,4591.56,635.52,8527.190333,817.1016569,363.16
2/1/2019,OSHODI,45084.28,5641.77,1764.4,10477.57687,2268.511027,1008.23
2/1/2019,SHOMOLU,49342.04,1065.79,1907.27,1979.32115,2452.200446,1089.87
3/1/2019,ABULE EGBA,14981.74,302.28,133.52,561.3715835,171.66695,76.3
3/1/2019,AKOWONJO,22617.31,370.47,716.93,688.0147742,921.7611581,409.67
3/1/2019,IKEJA,16388.84,2300.53,6377.09,4272.413561,8199.115586,3644.05
3/1/2019,IKORODU,26942.35,4931.9,544.7,9159.2431,700.3225283,311.25
3/1/2019,OSHODI,26230.22,5583.96,1672.97,10370.20615,2150.957958,955.98
3/1/2019,SHOMOLU,28705.73,1162.44,2262.98,2158.825942,2909.550406,1293.13
4/1/2019,ABULE EGBA,28014.75,300.41,124.46,557.9127255,160.0230785,71.12
4/1/2019,AKOWONJO,42039.21,391.44,756.91,726.9577514,973.1719296,432.52
4/1/2019,IKEJA,29499.43,2464.93,6066.7,4577.73344,7800.041689,3466.69
4/1/2019,IKORODU,50271.75,4358.34,682.75,8094.067305,877.8189195,390.14
4/1/2019,OSHODI,44770.64,5917.37,2031.34,10989.39422,2611.720636,1160.76
4/1/2019,SHOMOLU,50897.09,1019.9,1526.31,1894.100052,1962.395186,872.18
5/1/2019,ABULE EGBA,26183.91,279.68,108.63,519.412153,139.6680624,62.07
5/1/2019,AKOWONJO,44793.21,358.64,850.15,666.0431833,1093.05548,485.8
5/1/2019,IKEJA,30063.17,1981.35,5809.44,3679.658093,7469.285314,3319.68
5/1/2019,IKORODU,50057.27,5246.4,633,9743.305595,813.8530548,361.71
5/1/2019,OSHODI,51424.08,5788.15,1538.73,10749.42948,1978.36395,879.27
5/1/2019,SHOMOLU,55510.45,1088.64,2018.12,2021.76457,2594.727902,1153.21
6/1/2019,ABULE EGBA,30531.23,276.29,157.2,513.1049495,202.108014,89.83
6/1/2019,AKOWONJO,46514.86,331.04,803.88,614.790852,1033.559798,459.36
6/1/2019,IKEJA,28909.57,1835.5,5637.45,3408.779231,7248.147575,3221.4
6/1/2019,IKORODU,47547,4255.15,631.64,7902.418167,812.107782,360.94
6/1/2019,OSHODI,50958.12,5274.08,1990.37,9794.711986,2559.043589,1137.35
6/1/2019,SHOMOLU,54073.44,1011.66,1485.66,1878.805188,1910.130237,848.95
7/1/2019,ABULE EGBA,33014.93,268.43,149.44,498.5175,192.141,85.4
7/1/2019,AKOWONJO,49183.55,361.96,867.02,672.204,1114.74,495.44
7/1/2019,IKEJA,30742.64,1686.02,5731.14,3131.1865,7368.606,3274.94
7/1/2019,IKORODU,49807.45,4166.03,685.54,7736.9175,881.406,391.74
7/1/2019,OSHODI,52038.36,5645.31,1588.59,10484.1425,2042.469,907.76
7/1/2019,SHOMOLU,57523.52,1046.29,2243.27,1943.11,2884.1985,1281.87
8/1/2019,ABULE EGBA,34159.64,289.47,132.16,537.5877813,169.9236854,75.52
8/1/2019,AKOWONJO,54212.05,358.71,775.58,666.170905,997.1704269,443.19
8/1/2019,IKEJA,29683.7,2034.42,6011.37,3778.204232,7728.909669,3435.07
8/1/2019,IKORODU,51790.07,4573.15,617.74,8492.9873,794.2430256,353
8/1/2019,OSHODI,57259.85,5650.81,1728.35,10494.35618,2222.165476,987.63
8/1/2019,SHOMOLU,56678.4,1043.89,1942.3,1938.644965,2497.245799,1109.89
9/1/2019,ABULE EGBA,30923.37,276.5,140,513.5,180,80
9/1/2019,AKOWONJO,51148.06,343,892.15,637,1147.05,509.8
9/1/2019,IKEJA,27980.05,2137.45,6343.05,3969.55,8155.35,3624.6
9/1/2019,IKORODU,45066.31,4543,672.12,8437,864.153,384.07
9/1/2019,OSHODI,54969.74,5782,1750.82,10738,2251.053,1000.47
9/1/2019,SHOMOLU,54440.48,1054.2,1536.58,1957.8,1975.608,878.05
10/1/2019,ABULE EGBA,33280.18,2112.4,1213.531667,3923.029623,1560.248394,3702.94
10/1/2019,AKOWONJO,47098.05,2132.31,1508.591667,3960.001623,1939.620894,3871.55
10/1/2019,IKEJA,28060.55,2064.87,2988.971667,3834.759623,3842.967894,4717.48
10/1/2019,IKORODU,48600.24,2142.97,1296.231667,3979.794123,1666.583394,3750.2
10/1/2019,OSHODI,53531.56,2199.23,2057.371667,4084.275123,2645.184894,4185.13
10/1/2019,SHOMOLU,52181.87,2104.33,2089.121667,3908.040623,2686.017894,4203.28
11/1/2019,ABULE EGBA,33539.17,2450.3,1420.6,4550.553397,1826.482012,811.7716667
11/1/2019,AKOWONJO,52779.85,2462.5,1848.23,4573.208949,2376.293546,1056.131667
11/1/2019,IKEJA,30232.34,2383.57,3719.42,4426.629808,4782.110834,2125.381667
11/1/2019,IKORODU,51768.91,2561.31,1473.25,4756.71048,1894.180881,841.8616667
11/1/2019,OSHODI,55217.72,2612.01,2452.83,4850.877314,3153.634083,1401.611667
11/1/2019,SHOMOLU,59794.44,2519.51,2371.8,4679.080992,3049.461777,1355.311667
12/1/2019,ABULE EGBA,36274.04,2458.69,1472.505,4566.131277,1893.225392,841.4333333
12/1/2019,AKOWONJO,56980.27,2461,1928.915,4570.425435,2480.034076,1102.233333
12/1/2019,IKEJA,33271.98,2405.07,3952.685,4466.551857,5082.025833,2258.673333
12/1/2019,IKORODU,58480.4,2597.92,1538.515,4824.712839,1978.089007,879.1533333
12/1/2019,OSHODI,59342.83,2645.42,2531.865,4912.930049,3255.250755,1446.773333
12/1/2019,SHOMOLU,62330.8,2529.78,2463.725,4698.162646,3167.652889,1407.843333
1/1/2020,ABULE EGBA,36299.29,2491.843333,1373.191667,4627.699285,1765.52945,784.6783333
1/1/2020,AKOWONJO,52736.33,2499.263333,1748.181667,4641.493442,2247.666549,998.9683333
1/1/2020,IKEJA,32633.51,2451.803333,3862.011667,4553.345532,4965.447633,2206.868333
1/1/2020,IKORODU,58818.65,2524.533333,1496.421667,4688.412836,1923.964218,855.0983333
1/1/2020,OSHODI,57488.68,2668.413333,2322.641667,4955.619324,2986.25945,1327.228333
1/1/2020,SHOMOLU,60819.67,2510.163333,2430.161667,4661.725975,3124.492407,1388.668333
2/1/2020,ABULE EGBA,35098.42,2400.46,1373.82,4458.001182,1766.346461,785.0466667
2/1/2020,AKOWONJO,48641.51,2394.87,1727.58,4447.61296,2221.178967,987.1866667
2/1/2020,IKEJA,35012.1,2339.62,4000.53,4345.00729,5143.541103,2286.016667
2/1/2020,IKORODU,55383.66,2459.28,1458.46,4567.23921,1875.158796,833.4066667
2/1/2020,OSHODI,53517.35,2558.57,2377.31,4751.629548,3056.543741,1358.466667
2/1/2020,SHOMOLU,57903.29,2465.79,2431.38,4579.313864,3126.06196,1389.356667
3/1/2020,ABULE EGBA,32457.52,2366.396667,1414.758333,4394.743736,1818.9753,808.4333333
3/1/2020,AKOWONJO,45558.87,2346.616667,1712.318333,4358.009037,2201.55135,978.4633333
3/1/2020,IKEJA,34884.67,2316.206667,3708.448333,4301.528256,4768.00755,2119.113333
3/1/2020,IKORODU,56067.31,2432.516667,1511.318333,4517.528938,1943.1213,863.6133333
3/1/2020,OSHODI,48814.6,2570.666667,2190.058333,4774.089408,2815.79235,1251.463333
3/1/2020,SHOMOLU,57736.69,2340.756667,2243.658333,4347.119344,2884.6995,1282.093333
4/1/2020,ABULE EGBA,38225.14,1235.665,871.3,2294.800205,1120.239532,497.8833333
4/1/2020,AKOWONJO,52382.24,1221.115,1031.37,2267.79281,1326.049524,589.3533333
4/1/2020,IKEJA,34966.17,1214.705,2242.61,2255.877732,2883.350058,1281.493333
4/1/2020,IKORODU,55324.98,1289.215,941.29,2394.254405,1210.23333,537.8833333
4/1/2020,OSHODI,60668.12,1397.385,1400.07,2595.150303,1800.089369,800.0433333
4/1/2020,SHOMOLU,66332.37,1242.135,1496.89,2306.812854,1924.567609,855.3633333
5/1/2020,ABULE EGBA,40857.19,1750.528333,1095.226667,3250.977167,1408.14525,625.8466667
5/1/2020,AKOWONJO,55684.36,1728.558333,1319.576667,3210.183167,1696.59975,754.0466667
5/1/2020,IKEJA,36059.96,1705.518333,2742.416667,3167.393667,3525.95775,1567.096667
5/1/2020,IKORODU,55985.9,1779.058333,1136.576667,3303.958667,1461.31275,649.4766667
5/1/2020,OSHODI,62340.78,1919.738333,1656.506667,3565.232667,2129.79675,946.5766667
5/1/2020,SHOMOLU,67125.37,1746.588333,1750.116667,3243.658167,2250.14925,1000.066667
6/1/2020,ABULE EGBA,35256.5,1930.598333,1194.955,3585.403535,1536.365272,682.8283333
6/1/2020,AKOWONJO,50725.07,1916.358333,1434.195,3558.955907,1843.958011,819.5383333
6/1/2020,IKEJA,31719.92,2036.738333,2748.595,3782.506282,3533.902493,1570.628333
6/1/2020,IKORODU,44766.74,1960.138333,1264.375,3640.260337,1625.618412,722.4983333
6/1/2020,OSHODI,55538.17,2151.538333,1811.735,3995.715569,2329.370641,1035.278333
6/1/2020,SHOMOLU,56452.11,1915.378333,1867.295,3557.126749,2400.809909,1067.028333
7/1/2020,ABULE EGBA,35696.69,2185.963333,1243.456667,4059.651942,1598.735256,710.5533333
7/1/2020,AKOWONJO,53733.89,2179.293333,1464.856667,4047.267152,1883.384551,837.0633333
7/1/2020,IKEJA,32613.47,2185.803333,2818.406667,4059.356192,3623.663461,1610.513333
7/1/2020,IKORODU,47914.13,2210.833333,1263.176667,4105.838771,1624.082956,721.8133333
7/1/2020,OSHODI,58917.89,2391.163333,1916.786667,4440.738456,2464.443211,1095.303333
7/1/2020,SHOMOLU,57536.92,2224.503333,1855.076667,4131.224369,2385.101745,1060.043333
8/1/2020,ABULE EGBA,36590.12,2248.333333,1665.575,4175.486402,2141.447465,951.755
8/1/2020,AKOWONJO,54221.03,2245.753333,1623.835,4170.681342,2087.792345,927.905
8/1/2020,IKEJA,32797.09,2219.993333,3140.655,4122.846672,4037.981789,1794.655
8/1/2020,IKORODU,55285.69,2313.813333,1446.175,4297.078567,1859.364248,826.385
8/1/2020,OSHODI,63495.73,2443.283333,2169.775,4537.521367,2789.711682,1239.875
8/1/2020,SHOMOLU,58500.13,2274.373333,2052.425,4223.832529,2638.824923,1172.815
9/1/2020,ABULE EGBA,30023.81,2072.776667,1281.28,3849.434379,1647.361679,732.1633333
9/1/2020,AKOWONJO,46804.53,2071.476667,1545,3847.018906,1986.4337,882.8633333
9/1/2020,IKEJA,28898.89,2033.496667,2903.97,3776.488862,3733.674203,1659.413333
9/1/2020,IKORODU,46856.83,2151.196667,1362.05,3995.086397,1751.206334,778.3133333
9/1/2020,OSHODI,56723.1,2266.746667,2036.46,4209.674113,2618.304709,1163.693333
9/1/2020,SHOMOLU,54789.05,2104.236667,2020.7,3907.870992,2598.040356,1154.683333
10/1/2020,ABULE EGBA,36119.3,2119.596667,1386.101667,3936.389123,1782.136813,792.0583333
10/1/2020,AKOWONJO,57781.94,2111.296667,1682.781667,3920.988123,2163.570244,961.5883333
10/1/2020,IKEJA,34324.45,2060.756667,3166.201667,3827.117103,4070.83687,1809.258333
10/1/2020,IKORODU,51488.29,2180.136667,1427.031667,4048.821833,1834.752783,815.4483333
10/1/2020,OSHODI,66007.66,2345.476667,2184.431667,4355.87696,2808.558041,1248.248333
10/1/2020,SHOMOLU,62725.9,2141.226667,2120.011667,3976.555809,2725.722999,1211.428333
11/1/2020,ABULE EGBA,36318.43,2370.913333,1494.525,4403.129237,1921.53663,854.02
11/1/2020,AKOWONJO,54048.57,2364.853333,1846.315,4391.870164,2373.832337,1055.04
11/1/2020,IKEJA,35363.97,2303.823333,3637.255,4278.521751,4676.465835,2078.43
11/1/2020,IKORODU,49309.27,2422.953333,1555.865,4499.775266,2000.39699,889.07
11/1/2020,OSHODI,63240.53,2670.023333,2346.215,4958.61826,3016.565335,1340.7
11/1/2020,SHOMOLU,61514.61,2426.963333,2341.085,4507.222238,3009.964487,1337.76
12/1/2020,ABULE EGBA,37601.36,2304.641667,1469.055,4280.05175,1888.78725,839.4583333
12/1/2020,AKOWONJO,54380.7,2414.371667,1883.455,4483.83975,2421.58275,1076.258333
12/1/2020,IKEJA,36635.76,2263.781667,3681.685,4204.15775,4733.60175,2103.818333
12/1/2020,IKORODU,58891.99,2390.051667,1585.875,4438.66475,2038.97925,906.2083333
12/1/2020,OSHODI,64810,2455.191667,2395.835,4559.63625,3080.36475,1369.048333
12/1/2020,SHOMOLU,67306.25,2342.151667,2345.825,4349.71225,3016.06425,1340.468333
1/1/2021,ABULE EGBA,37363.34,2390.435,2482.345,4439.38625,1883.46375,837.0966667
1/1/2021,AKOWONJO,56763.6,2482.315,2829.035,4610.00475,2329.20675,1035.206667
1/1/2021,IKEJA,36805.52,2350.185,4704.185,4364.63625,4740.11325,2106.716667
1/1/2021,IKORODU,62052.78,2490.615,2631.145,4625.43575,2074.76775,922.1166667
1/1/2021,OSHODI,63210.91,2536.635,3382.015,4710.89125,3040.17525,1351.186667
1/1/2021,SHOMOLU,68834.93,2425.515,3370.835,4504.52275,3025.80225,1344.796667
2/1/2021,ABULE EGBA,33059.26,2316.805,1422.845,4302.628417,1829.3775,813.0533333
2/1/2021,AKOWONJO,52752.99,2457.015,1808.995,4563.024917,2325.849,1033.713333
2/1/2021,IKEJA,33413.49,2297.495,3687.875,4266.774417,4741.5525,2107.353333
2/1/2021,IKORODU,58370.2,2507.295,1545.405,4656.410417,1986.9495,883.0933333
2/1/2021,OSHODI,57348.72,2481.235,2313.755,4607.998417,2974.821,1322.143333
2/1/2021,SHOMOLU,64059.52,2386.995,2382.945,4432.985917,3063.7905,1361.683333
3/1/2021,ABULE EGBA,30057.18,2378.843333,1304.381667,4417.849219,1677.063607,745.3583333
3/1/2021,AKOWONJO,45944.48,2389.153333,1766.071667,4436.990165,2270.667668,1009.188333
3/1/2021,IKEJA,31568.83,2339.853333,3813.881667,4345.445516,4903.555613,2179.358333
3/1/2021,IKORODU,50461.02,2481.983333,1349.041667,4609.403558,1734.485756,770.8783333
3/1/2021,OSHODI,41191.39,2586.003333,2114.581667,4802.571108,2718.742881,1208.328333
3/1/2021,SHOMOLU,48522.12,2424.473333,2047.881667,4502.59216,2632.991457,1170.218333
4/1/2021,ABULE EGBA,32653.64,2469.226667,1382.436667,4585.715333,1777.413,789.96
4/1/2021,AKOWONJO,52776.04,2472.356667,1735.916667,4591.513333,2231.8905,991.95
4/1/2021,IKEJA,32879.31,2434.026667,3637.056667,4520.344833,4676.2095,2078.32
4/1/2021,IKORODU,53804.37,2541.016667,1452.226667,4719.030333,1867.143,829.84
4/1/2021,OSHODI,51326,2648.766667,2088.556667,4919.139333,2685.2925,1193.46
4/1/2021,SHOMOLU,55573.71,2527.916667,2173.856667,4694.694333,2794.953,1242.2
5/1/2021,ABULE EGBA,33548.22,2491.83,1415.451667,4627.675,1819.8705,808.83
5/1/2021,AKOWONJO,55176.61,2520.85,1814.821667,4681.586,2333.343,1037.04
5/1/2021,IKEJA,34450.74,2461.7,3763.731667,4571.736,4839.087,2150.71
5/1/2021,IKORODU,56070.45,2546.7,1544.461667,4729.582,1985.7315,882.55
5/1/2021,OSHODI,52403,2566.33,2144.821667,4766.0405,2757.621,1225.61
5/1/2021,SHOMOLU,58547.52,2563.47,2385.441667,4760.7235,3066.9915,1363.11
6/1/2021,ABULE EGBA,30220.8,2293.945,1381.225,4260.18775,1775.85975,789.2683333
6/1/2021,AKOWONJO,50826.36,2302.195,1748.555,4275.49525,2248.14825,999.1783333
6/1/2021,IKEJA,29495.04,2259.295,3559.155,4195.83125,4576.06125,2033.808333
6/1/2021,IKORODU,52823.89,2351.195,1482.535,4366.50175,1906.11225,847.1583333
